,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_logistic_regression__C,param_logistic_regression__l1_ratio,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
53,0.32991514205932615,0.02247076832021566,0.09524521827697754,0.01053714742929388,2.782559402207126,0.3333333333333333,"{'logistic_regression__C': 2.782559402207126, 'logistic_regression__l1_ratio': 0.3333333333333333}",-0.6019252137357599,-0.49672726673833695,-0.5212609868940095,-0.5370957881155676,-0.47632112933568405,-0.5050273769942022,-0.4538027384792094,-0.4751621412931829,-0.5186728077266536,-0.5597844536555294,-0.5145779902968135,0.04166813327543106,20
52,0.31136844158172605,0.012414203158011373,0.09235384464263915,0.008966816945815862,2.782559402207126,0.2222222222222222,"{'logistic_regression__C': 2.782559402207126, 'logistic_regression__l1_ratio': 0.2222222222222222}",-0.6019357662766474,-0.4963976422348681,-0.5217311906301672,-0.5374482881507558,-0.4762807220232371,-0.5051079838676122,-0.4537985327471681,-0.4750265846849698,-0.5185319406835498,-0.5601113460180587,-0.5146369997317034,0.04176102032923374,21
51,0.30957210063934326,0.009733720845549769,0.08826465606689453,0.006722761677949245,2.782559402207126,0.1111111111111111,"{'logistic_regression__C': 2.782559402207126, 'logistic_regression__l1_ratio': 0.1111111111111111}",-0.6021411494260024,-0.49636356453136193,-0.522410189516889,-0.5377353951763031,-0.4762469681388161,-0.5052745230958869,-0.45409435835847506,-0.4749576153230679,-0.5185297011856751,-0.5603992208450796,-0.5148152685597557,0.04182724551454282,22
50,0.2731701612472534,0.00866687759277929,0.09255168437957764,0.00711821033179602,2.782559402207126,0.0,"{'logistic_regression__C': 2.782559402207126, 'logistic_regression__l1_ratio': 0.0}",-0.6023538612384783,-0.4963609970274419,-0.5230790661959703,-0.5378490899326636,-0.47623113211404045,-0.5055453157382758,-0.45488646329431914,-0.47513516950128515,-0.5185155229864387,-0.5605782164006328,-0.5150534834429547,0.041773704661402664,23
33,0.20654752254486083,0.009047101681604003,0.09864025115966797,0.007483644188549119,0.046415888336127774,0.3333333333333333,"{'logistic_regression__C': 0.046415888336127774, 'logistic_regression__l1_ratio': 0.3333333333333333}",-0.5449263676016566,-0.5162822800081676,-0.5105229632829891,-0.5093825427319999,-0.5444898203348562,-0.5153291268649557,-0.47494297801648955,-0.5040127934990256,-0.5192391366052203,-0.5354734434386549,-0.5174601452384016,0.019800206988774497,24
69,0.3041853427886963,0.012229312611649638,0.09375123977661133,0.007437970731541748,21.54434690031882,1.0,"{'logistic_regression__C': 21.54434690031882, 'logistic_regression__l1_ratio': 1.0}",-0.6090501320253608,-0.4974444659359844,-0.5341228316248101,-0.5481266849729348,-0.475191823814206,-0.5088339112566107,-0.4567334872415124,-0.47593171841862986,-0.5250785812930663,-0.5630580263006044,-0.519357166288372,0.04402501044342817,25
68,0.3107691526412964,0.011284689346630792,0.0922555685043335,0.009748519234969711,21.54434690031882,0.8888888888888888,"{'logistic_regression__C': 21.54434690031882, 'logistic_regression__l1_ratio': 0.8888888888888888}",-0.6091287870633993,-0.49735285523261685,-0.5341820446417528,-0.548172417628303,-0.4752242683154792,-0.5088934167475424,-0.45684074632810495,-0.4759592881699078,-0.5250640074142842,-0.5631283850264956,-0.5193946216567886,0.04403474111854531,26
67,0.33181204795837405,0.01782349776083085,0.09734063148498535,0.009557957893423228,21.54434690031882,0.7777777777777777,"{'logistic_regression__C': 21.54434690031882, 'logistic_regression__l1_ratio': 0.7777777777777777}",-0.6092082529511857,-0.4973270940747577,-0.5342444738251956,-0.5482382899137275,-0.47522772927008433,-0.5089520104159329,-0.4569492770191446,-0.47598028666242415,-0.5250622265729266,-0.5631740796543869,-0.5194363720359767,0.04404392440219215,27
66,0.31086671352386475,0.011005827880746057,0.09345102310180664,0.008091991737038165,21.54434690031882,0.6666666666666666,"{'logistic_regression__C': 21.54434690031882, 'logistic_regression__l1_ratio': 0.6666666666666666}",-0.6092437941195006,-0.4973056304315565,-0.5343084099354514,-0.5483398163982154,-0.47525497659628824,-0.5090053708661345,-0.4571196557429101,-0.4760205046348641,-0.5250475489928622,-0.5632069393388383,-0.5194852647056621,0.04403199463640447,28
65,0.32373197078704835,0.01739947439690709,0.09454855918884278,0.012463338958285398,21.54434690031882,0.5555555555555556,"{'logistic_regression__C': 21.54434690031882, 'logistic_regression__l1_ratio': 0.5555555555555556}",-0.609253999938703,-0.49729298381946563,-0.5343805810212362,-0.5483769229251021,-0.47524436631232314,-0.5090593039731719,-0.45721465496134484,-0.47608688987326875,-0.5250437219408333,-0.5632206451758602,-0.519517406994131,0.04402067316998896,29
