,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_base_estimator__reg_lambda,param_base_estimator__num_iterations,param_base_estimator__max_depth,param_base_estimator__feature_fraction,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0,0.7285511016845703,0.05192111612931128,0.05235934257507324,0.007506402788122059,0.016768329368110083,100,8,0.5,"{'base_estimator__reg_lambda': 0.016768329368110083, 'base_estimator__num_iterations': 100, 'base_estimator__max_depth': 8, 'base_estimator__feature_fraction': 0.5}",-0.5516341742714559,-0.5360903913062032,-0.5021396852026745,-0.4959469018403717,-0.5065344086395975,-0.4795075525435106,-0.47425466465796423,-0.5003217367906678,-0.5065414555385621,-0.5193988405904595,-0.5072369811381466,0.022384239002317622,32
55,0.541052269935608,0.045059593461097544,0.05415565967559814,0.0019470257475797043,3.5564803062231287,100,9,1,"{'base_estimator__reg_lambda': 3.5564803062231287, 'base_estimator__num_iterations': 100, 'base_estimator__max_depth': 9, 'base_estimator__feature_fraction': 1}",-0.5302892566897663,-0.5549005858654873,-0.4886293613897804,-0.4901831496712738,-0.5021730886277604,-0.4987900419414986,-0.46525993419777406,-0.501302119744761,-0.5098367404796718,-0.5355740109913063,-0.5076938289599081,0.024783565225899296,33
33,0.3422837495803833,0.010401723969181459,0.05226101875305176,0.0016816430802435865,138.9495494373136,100,2,0.25,"{'base_estimator__reg_lambda': 138.9495494373136, 'base_estimator__num_iterations': 100, 'base_estimator__max_depth': 2, 'base_estimator__feature_fraction': 0.25}",-0.5352926692257383,-0.5299518419411905,-0.5033745971378332,-0.481209072847232,-0.5412536076875549,-0.47222097470591173,-0.49689715454448996,-0.5146581551489812,-0.5083580425995887,-0.4996651666484637,-0.5082881282486984,0.021420163473868537,34
61,0.5966040134429932,0.016782327801833242,0.05585057735443115,0.0035396986478119083,568.9866029018293,200,6,0.5,"{'base_estimator__reg_lambda': 568.9866029018293, 'base_estimator__num_iterations': 200, 'base_estimator__max_depth': 6, 'base_estimator__feature_fraction': 0.5}",-0.5179782521176575,-0.5331020990389324,-0.5045439674673575,-0.48782604662502693,-0.5475845075886134,-0.4784870521767893,-0.49217496088017043,-0.502495277606614,-0.5185711123219285,-0.5046446583942349,-0.5087407934217325,0.019961997879031284,35
5,0.6669155120849609,0.03888436266364656,0.05335745811462402,0.003869410950651503,33.9322177189533,400,1,0.5,"{'base_estimator__reg_lambda': 33.9322177189533, 'base_estimator__num_iterations': 400, 'base_estimator__max_depth': 1, 'base_estimator__feature_fraction': 0.5}",-0.5592641054993518,-0.5301566372376381,-0.4975203784406285,-0.48562682441192084,-0.5234141688061749,-0.4853968208822305,-0.46822365507931585,-0.5188310963259745,-0.48771167388532416,-0.5341916476682658,-0.5090337008236825,0.02695219901886266,36
41,0.9332038402557373,0.10979907511384772,0.05425496101379394,0.002608305655616286,4.714866363457395,200,7,1,"{'base_estimator__reg_lambda': 4.714866363457395, 'base_estimator__num_iterations': 200, 'base_estimator__max_depth': 7, 'base_estimator__feature_fraction': 1}",-0.5347348039224276,-0.5437121902033324,-0.48316370714776513,-0.4903902547413773,-0.5028466816468121,-0.49275990717114543,-0.4813488337118789,-0.5074297321474329,-0.5137929495743845,-0.5412842798304496,-0.5091463340097006,0.022393620881877116,37
46,0.9198392152786254,0.10851482988967394,0.05445587635040283,0.00396959523863546,4.714866363457395,200,9,1,"{'base_estimator__reg_lambda': 4.714866363457395, 'base_estimator__num_iterations': 200, 'base_estimator__max_depth': 9, 'base_estimator__feature_fraction': 1}",-0.5372776194638008,-0.5451693313097137,-0.4937117746371101,-0.49580999093327965,-0.4979299646817605,-0.49746613728016964,-0.4834856032866403,-0.4991860132147893,-0.5152197209543912,-0.535864274283579,-0.5101120430045235,0.020655344771769727,38
14,0.405715012550354,0.037334326945750416,0.05186150074005127,0.005624572497640569,244.205309454865,100,6,0.25,"{'base_estimator__reg_lambda': 244.205309454865, 'base_estimator__num_iterations': 100, 'base_estimator__max_depth': 6, 'base_estimator__feature_fraction': 0.25}",-0.5313099767688957,-0.5289857674813977,-0.5038996709527181,-0.49003548905864786,-0.5447459954011629,-0.4667817975094083,-0.5061270021870722,-0.517395532248309,-0.5160548868227159,-0.5003864513423881,-0.5105722569772715,0.021262569488044017,39
52,1.260828447341919,0.04292580386884129,0.056847453117370605,0.0019947175663539477,8.286427728546842,400,6,0.25,"{'base_estimator__reg_lambda': 8.286427728546842, 'base_estimator__num_iterations': 400, 'base_estimator__max_depth': 6, 'base_estimator__feature_fraction': 0.25}",-0.5771752951652196,-0.5253605769841603,-0.5047158828738247,-0.5001703304137941,-0.4889797603356795,-0.4736733434126532,-0.4835193320751999,-0.5127533590293888,-0.5064118338751558,-0.5345503463264138,-0.5107310060491489,0.028202031594007502,40
47,0.8143212795257568,0.0526886197639322,0.06113862991333008,0.01163540715680711,0.016768329368110083,200,5,0.25,"{'base_estimator__reg_lambda': 0.016768329368110083, 'base_estimator__num_iterations': 200, 'base_estimator__max_depth': 5, 'base_estimator__feature_fraction': 0.25}",-0.5736561363229397,-0.5234200042922277,-0.5032400070596551,-0.5072234078655995,-0.49812606854078306,-0.4671383146412368,-0.479877377690347,-0.5008613623609177,-0.5269695267591181,-0.528138922624688,-0.5108651128157513,0.028043020020275533,41
30,1.1130234956741334,0.03611121787576723,0.05914075374603271,0.008741438534315442,0.0071968567300115215,400,4,0.5,"{'base_estimator__reg_lambda': 0.0071968567300115215, 'base_estimator__num_iterations': 400, 'base_estimator__max_depth': 4, 'base_estimator__feature_fraction': 0.5}",-0.5438415599808499,-0.5345983189661541,-0.5186575411456192,-0.4904903463738016,-0.5044115696877407,-0.4863124489515089,-0.4729243375117857,-0.5089826021063547,-0.5268347877671109,-0.5364216558687168,-0.5123475168359641,0.022583808761370342,42
36,0.3523568868637085,0.04255238644651323,0.06003997325897217,0.011646084617464624,0.868511373751352,100,1,0.25,"{'base_estimator__reg_lambda': 0.868511373751352, 'base_estimator__num_iterations': 100, 'base_estimator__max_depth': 1, 'base_estimator__feature_fraction': 0.25}",-0.559217217759799,-0.5313757608181342,-0.5032639845115772,-0.49744736138507967,-0.5399208379936693,-0.48031376564715655,-0.4745912383589227,-0.5129092235727042,-0.5037288821474935,-0.5214334464430739,-0.512420171863761,0.02496487863511023,43
50,1.31946861743927,0.0961316083120689,0.06033926010131836,0.005751127408178915,6.25055192527397,400,7,0.25,"{'base_estimator__reg_lambda': 6.25055192527397, 'base_estimator__num_iterations': 400, 'base_estimator__max_depth': 7, 'base_estimator__feature_fraction': 0.25}",-0.5713590973464111,-0.5292355013540888,-0.5064223160547017,-0.5057363331208746,-0.4919818360332487,-0.4706110540071865,-0.4846731640860919,-0.508024968575906,-0.5166656822198383,-0.5401439335864974,-0.5124853886384846,0.027529495395941708,44
6,1.0450047969818115,0.11368923440533522,0.05894391536712647,0.005112892510254192,0.03906939937054617,200,8,0.5,"{'base_estimator__reg_lambda': 0.03906939937054617, 'base_estimator__num_iterations': 200, 'base_estimator__max_depth': 8, 'base_estimator__feature_fraction': 0.5}",-0.5498013627311138,-0.5337176036035535,-0.5055574673609351,-0.5089636027224061,-0.5073982062145793,-0.4862208948830574,-0.4907990479047152,-0.5022797227119978,-0.5202150599618892,-0.5223885413554203,-0.5127341509449668,0.018305860860363808,45
7,0.887326455116272,0.031157791839776343,0.05844440460205078,0.005224895405491272,0.004094915062380427,200,8,0.25,"{'base_estimator__reg_lambda': 0.004094915062380427, 'base_estimator__num_iterations': 200, 'base_estimator__max_depth': 8, 'base_estimator__feature_fraction': 0.25}",-0.5779501068308377,-0.5254755286051984,-0.5028478920394738,-0.5065488801435316,-0.5014646970307636,-0.4729809794896376,-0.48443351316384275,-0.4935043941846148,-0.5287285470083156,-0.5378110110680121,-0.5131745549564227,0.028830910903252537,46
