,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_logistic_regression__C,param_logistic_regression__l1_ratio,params,split0_test_neg_log_loss,split1_test_neg_log_loss,split2_test_neg_log_loss,split3_test_neg_log_loss,split4_test_neg_log_loss,split5_test_neg_log_loss,split6_test_neg_log_loss,split7_test_neg_log_loss,split8_test_neg_log_loss,split9_test_neg_log_loss,mean_test_neg_log_loss,std_test_neg_log_loss,rank_test_neg_log_loss,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,split5_test_roc_auc,split6_test_roc_auc,split7_test_roc_auc,split8_test_roc_auc,split9_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
30,0.22400224208831787,0.01180311945515372,0.19966301918029786,0.01169253207999027,0.046415888336127774,0.0,"{'logistic_regression__C': 0.046415888336127774, 'logistic_regression__l1_ratio': 0.0}",-0.5534653979658231,-0.5042657427523913,-0.4862187451927918,-0.5114720723185353,-0.5023377091962551,-0.5013646446590295,-0.44994632898471226,-0.4843742827338053,-0.4898589654906454,-0.5241684145603245,-0.5007472303854313,0.02576141735333716,11,0.6971726190476191,0.7894345238095237,0.7991071428571428,0.7760416666666666,0.7842261904761905,0.7872023809523808,0.8541666666666667,0.8043154761904762,0.7871853546910754,0.7520976353928299,0.7830949656750572,0.03771762391433595,1
31,0.23127987384796142,0.021365493562333845,0.19658026695251465,0.01639452322437945,0.046415888336127774,0.1111111111111111,"{'logistic_regression__C': 0.046415888336127774, 'logistic_regression__l1_ratio': 0.1111111111111111}",-0.550046884931541,-0.5067986588580738,-0.4891581361260681,-0.5147404116902647,-0.5176801374468126,-0.5048349412934543,-0.4546137641009665,-0.49126122679508716,-0.49954421770439855,-0.5277933678635686,-0.5056471746810236,0.02410757537011631,12,0.706845238095238,0.7842261904761904,0.7924107142857143,0.7708333333333334,0.7596726190476191,0.7827380952380952,0.8519345238095238,0.7946428571428571,0.780320366132723,0.7414187643020596,0.7765042701863354,0.035754209763614736,27
32,0.21960937976837158,0.013572423023898836,0.19388298988342284,0.007571953869537714,0.046415888336127774,0.2222222222222222,"{'logistic_regression__C': 0.046415888336127774, 'logistic_regression__l1_ratio': 0.2222222222222222}",-0.5467294266814428,-0.5122398921941264,-0.4967267569879363,-0.5149350978625359,-0.5311408206150794,-0.5077406205801308,-0.46238190714699134,-0.4993460078387771,-0.506477590567066,-0.5308502621527345,-0.510856838262682,0.02197141452409688,13,0.7127976190476191,0.7834821428571429,0.7872023809523809,0.78125,0.7410714285714285,0.7819940476190476,0.8504464285714286,0.7901785714285715,0.7856598016781083,0.7322654462242564,0.7746347866949984,0.03631831558762777,62
59,0.31395788192749025,0.015065949758491183,0.19258582592010498,0.01713202852055581,2.782559402207126,1.0,"{'logistic_regression__C': 2.782559402207126, 'logistic_regression__l1_ratio': 1.0}",-0.6141196827606457,-0.498492171016203,-0.519497468398294,-0.531329379294637,-0.4715831884361924,-0.49888615862820995,-0.44799722898945965,-0.47983965508039483,-0.5053658168049366,-0.5575419642228494,-0.5124652713631822,0.04482497080835769,14,0.6785714285714286,0.8020833333333333,0.7745535714285715,0.78125,0.8117559523809523,0.7976190476190476,0.8348214285714286,0.800595238095238,0.7643020594965676,0.7391304347826088,0.7784682494279176,0.04177123784343494,6
58,0.3156562328338623,0.019298780286468406,0.1931828260421753,0.01504583846130684,2.782559402207126,0.8888888888888888,"{'logistic_regression__C': 2.782559402207126, 'logistic_regression__l1_ratio': 0.8888888888888888}",-0.6140746319272555,-0.4984462933715452,-0.5202429233697945,-0.5315008299323909,-0.47150489429942866,-0.4992147874040976,-0.44769395376536625,-0.4797868520670683,-0.5061323424260078,-0.557643654894514,-0.5126241163457469,0.04487906945837307,15,0.6763392857142857,0.8013392857142857,0.7745535714285715,0.7805059523809524,0.8110119047619049,0.796875,0.8333333333333334,0.7998511904761905,0.7635392829900839,0.7391304347826088,0.7776479241582216,0.041954499640239,15
57,0.3301138639450073,0.020676743806335388,0.1856091022491455,0.020943606797339077,2.782559402207126,0.7777777777777777,"{'logistic_regression__C': 2.782559402207126, 'logistic_regression__l1_ratio': 0.7777777777777777}",-0.6140230032054882,-0.4984152413768298,-0.520964923458503,-0.5316921806794239,-0.47142569252656885,-0.4995268984689554,-0.4471662642061084,-0.4796130720350826,-0.5069063816103339,-0.5577500450333774,-0.5127483702600671,0.04497663922481091,16,0.6763392857142857,0.8013392857142857,0.7730654761904763,0.7805059523809523,0.8110119047619048,0.796875,0.8363095238095238,0.8005952380952381,0.7627765064836003,0.7391304347826088,0.7777948607932875,0.042437043106078494,13
56,0.32114038467407224,0.018601999087399686,0.20096359252929688,0.02107240805793905,2.782559402207126,0.6666666666666666,"{'logistic_regression__C': 2.782559402207126, 'logistic_regression__l1_ratio': 0.6666666666666666}",-0.6138955659723061,-0.4983999608779593,-0.5215150179599434,-0.53182360522387,-0.4713639630860328,-0.4998316957502393,-0.44720212705028173,-0.4793669795523282,-0.5076801112806608,-0.5577520252542929,-0.5128831052007914,0.04496478879298983,17,0.6763392857142857,0.8020833333333333,0.7715773809523809,0.78125,0.8110119047619049,0.796875,0.8363095238095238,0.8005952380952381,0.7643020594965676,0.7414187643020596,0.7781762490465294,0.04224787199777019,8
55,0.3241311311721802,0.024161532803199975,0.19877004623413086,0.0222026318684904,2.782559402207126,0.5555555555555556,"{'logistic_regression__C': 2.782559402207126, 'logistic_regression__l1_ratio': 0.5555555555555556}",-0.6137604913221383,-0.4984045973608664,-0.5221323337156142,-0.5321541510110005,-0.4713014108597351,-0.5001383511317347,-0.44723330800552014,-0.47942235569781905,-0.5084678451172193,-0.5578162236167576,-0.5130831067838405,0.04494647816033639,18,0.6763392857142857,0.8005952380952381,0.7708333333333334,0.78125,0.8117559523809524,0.7961309523809524,0.8385416666666667,0.7998511904761905,0.7643020594965676,0.7421815408085431,0.7781781219352729,0.04241298294957649,7
54,0.3247301816940308,0.0231844218350173,0.20096828937530517,0.01813521022623236,2.782559402207126,0.4444444444444444,"{'logistic_regression__C': 2.782559402207126, 'logistic_regression__l1_ratio': 0.4444444444444444}",-0.6138418833015546,-0.4983048843069738,-0.5230794199600123,-0.5324017640485799,-0.4712492200483802,-0.5004299676254245,-0.4473142369038041,-0.4794842114399989,-0.5086991954441766,-0.5579118569767598,-0.5132716640055665,0.04498549733899437,19,0.6763392857142857,0.8005952380952381,0.7700892857142857,0.78125,0.8110119047619048,0.7961309523809524,0.8385416666666667,0.7991071428571428,0.7643020594965676,0.7421815408085431,0.7779549076495587,0.042330231450437815,12
53,0.3150569677352905,0.02127123939858186,0.18740012645721435,0.018354532282806355,2.782559402207126,0.3333333333333333,"{'logistic_regression__C': 2.782559402207126, 'logistic_regression__l1_ratio': 0.3333333333333333}",-0.6139673422186285,-0.4981890242630776,-0.5237172965474184,-0.5326784854059461,-0.4712291541836214,-0.5007300622496766,-0.44753691846106636,-0.47957239289233183,-0.5090782413696491,-0.558339591209592,-0.5135038508801008,0.045036171450262875,20,0.6763392857142857,0.8005952380952381,0.7700892857142857,0.7834821428571429,0.8110119047619048,0.7953869047619048,0.8392857142857143,0.7991071428571428,0.7643020594965676,0.7414187643020596,0.7781018442846246,0.0424939244238866,9
